trial,event,target,target point,time stamp
N/A,GazeNull,null,null,03:43:57.660
N/A,GazeNull,null,null,03:43:57.665
N/A,GazeNull,null,null,03:43:57.665
N/A,GazeNull,null,null,03:43:57.665
N/A,GazeNull,null,null,03:43:57.666
N/A,GazeNull,null,null,03:43:57.666
N/A,GazeNull,null,null,03:43:57.666
N/A,GazeNull,null,null,03:43:57.667
N/A,GazeNull,null,null,03:43:57.667
N/A,GazeNull,null,null,03:43:57.668
N/A,GazeNull,null,null,03:43:57.668
N/A,GazeNull,null,null,03:43:57.668
N/A,GazeNull,null,null,03:43:57.669
N/A,GazeNull,null,null,03:43:57.669
N/A,GazeNull,null,null,03:43:57.669
N/A,GazeNull,null,null,03:43:57.670
